0,2018-9-25 07:21,【#女儿被打父亲捅死男生#：事发前双方家长对话曝光，并无激烈冲突】9月21日，浙江瑞安隆山实验小学发生一起“小学男生被女同学父亲杀害案”。2天前，男生叶某在学校打伤女同学眼睛。当晚双方父母通过微信有过沟通。叶某母亲向对方道歉，希望陪受伤女孩去医院看看。而犯罪嫌疑人林某某则希望，“(死者叶某)能当着老师同学的面向女儿道歉，“给他一个教训”。叶某妈妈表示愿意。双方似乎就处理纠纷达成一致。
91,9月27日 11:09 ,追梦刘dreamliu,purple鸭鸭,校园凌辱的都是那些家庭背景不好的  仗着有点钱有点背景就告诉自己的孩子不要吃亏  这种教育方式就是这些家长的三观 
92,9月27日 10:54 ,请叫我撬棍,YINGYICHEN_,你如果真觉得他是精神病，那我们达成共识了。他杀了孩子，连法律也站在他那边。 法律也理解了他，他杀了人，他甚至不需要付出什么代价。你认可法律也认可了他? 
93,9月27日 10:52 ,YINGYICHEN_,请叫我撬棍,所以小孩做错事就该死 家长做错就该失去孩子？你这什么三观？这件事是不是真的欺负还没定论 你看不见辟谣看不到别人给你科普 就认定自己是对的  我觉得你这样的人还是早点在家里不要出来祸害别人 
94,9月27日 10:50 ,请叫我撬棍,YINGYICHEN_,我三观必须正啊，显而易见啊，孩子做错事就该受到惩罚，家长做错事也该受到惩罚。这当然是两个孩子的问题，之后演变成两个家长的问题。，孩子没做好，家长擦的屁股。家长没做好，失去了亲人，这不应该是喜闻乐见么 
95,9月27日 10:49 ,YINGYICHEN_,请叫我撬棍,问题是就事论事这件事根本不是欺负人的事  你非得自己口嗨  还说自己站在道德角度支持杀人者 
96,9月27日 10:48 ,请叫我撬棍,YINGYICHEN_,我的意思是，别人这么做我会理解。而且你语文怕是没学好，我的意思是如果骨折了的话。 我的意思是欺负别人的人应该受到惩罚，我的意思是 做事之前要考虑后果，无论你能不能承担这个后果 
97,9月27日 10:47 ,YINGYICHEN_,请叫我撬棍,总比你这个网络暴民好吧  好歹我是温州本地的   比你这个躲在网络角落里敲敲键盘只会口嗨的人懂得多 
98,9月27日 10:46 ,YINGYICHEN_,请叫我撬棍,一拳打伤我就觉得搞笑了你的伤指的是什么程度，红了肿了破了皮叫伤  还是手折了腿断了眼瞎了叫伤 这件事当中就是小孩子之间的磕碰  你为杀人者叫好就很搞笑  还说自己三观正 站在道德角度。从道德角度来看你都不配做人了 
99,9月27日 10:45 ,请叫我撬棍,YINGYICHEN_,他说什么你信什么，你当然无所谓啊。毕竟和你没关系嘛。 。。 真实情况到底如何谁也不知道。。   班主任说的就是真的了，就不会拉偏架了? 
100,9月27日 10:41 ,请叫我撬棍,YINGYICHEN_,你这句话说的偏激了，如果你在路上不小心给我一拳把我打伤了，我想你是有机会被我杀死的 
