84,7月9日 13:07 ,无耻斐讯,,刘强东是不是应该出面解释下 
85,7月9日 13:06 ,亲爱翠花_长春,#我的中国梦#, #天价路由# #联璧斐讯#
86,7月9日 13:05 ,朝霞190,,联壁斐讯勾结，暗度陈仓侵吞了百姓的血汗钱！ 
87,7月9日 12:05 ,东方娃娃鱼,#联璧斐讯#,#天价路由##匪讯诈骗# 斐讯联璧事件，跟其他跑路暴雷的平台都不一样， 电商大平台京东苏宁及三大运营商营业厅大力做推广，斐讯不遗余力的培育联璧做大吸收大量存款为自己日益膨胀的资本需求输血，有组织有预谋地切割联璧公然欺诈，涉案金额惊人，须坚决予以打击，杜绝此类新型诈骗模式案件发生 
88,7月9日 11:50 ,翔庆,,有一个负责的态度 才是挽回的根本 
89,7月9日 11:34 ,笨笨的七彩鱼,,那是老百姓的血汗钱，永不罢休！敢于贪占的人会付出沉重的代价！！！ 
90,7月9日 11:32 ,用户6144502984,,被坑死了，没法过了 
91,7月9日 10:54 ,烦烦烦的烦心事,,上海的警察都在干些什么呢？这么多群众都自发去门口堵住了，他们呢？破案的进度没有，所有的信息都没有出来，让我这些人等着干着急，不去你门口堵着你能给我们一个结果嘛，光吃饭不做事啊，这种警官上海还留的下 
92,7月9日 10:12 ,傲慢偏执兔先森,#联璧斐讯#, #天价路由# #匪讯诈骗# #焦点访谈# #我的中国梦#
93,7月9日 09:18 ,天降正义8,#联璧斐讯#,#天价路由#  ￼网页链接 上海松江公安包庇斐讯，不作为，蛇鼠一窝，已经引起民愤！ 
94,7月9日 09:04 ,水果猪小风,,我现在也很绝望 想报警都不知道去哪我也不是上海的！ 
95,7月9日 08:40 ,静水hi,小萌萌哒-_-,本金回来就好 
96,7月9日 08:21 ,Cxm小妖,安卓网, @第一新闻 @公安部刑侦局@每日经济新闻 @央视新闻 
97,7月9日 07:47 ,用户5692903580,,为什么相关执法部门还没公布处理进度，心急如焚！ 
98,7月9日 07:24 ,安哲1250689842,,斐讯还我血汗钱 
99,7月9日 07:02 ,衣服你特,#联璧斐讯#,斐讯不死，欠款不还.誓不罢休 
100,7月9日 06:47 ,甜酒心先生,甜酒心先生, #天价路由# #联璧斐讯# 请关注，这个案件不同于其他p2p平台，是实业平台，可能存包庇现象，官网证据说是松江经侦保官，但一直被修改，望查明真相 
101,7月9日 06:36 ,为弱者撑起一片天,,江西就连一个小小的处级干部袁和庚都管不了？高安人民究竟还有什么活头？为什么地方的法律就是为领导干部袁和庚服务的？难道领导干部袁和庚就可以草菅人命弄虚作假欺压百姓的？难道领导干部袁和庚就可以滥用职权以权压人为所欲为的？难道领导干部袁和庚就是国家的法律这对咱们普通老百姓公平吗？ 
102,7月9日 03:16 ,小尤甜心·,,别贪小便宜 嗯嗯 
103,7月9日 00:50 ,3夕夕,,人傻钱多 
104,7月9日 00:44 ,和你一起_笑看风云,感谢你让我心动, 还特么哈尔滨的，回家问问你爹妈，站着说话不腰疼啥意思，不过看你要么是没爹妈，要么是野爹妈，有人生没人养吧？ 
105,7月9日 00:39 ,和你一起_笑看风云,感谢你让我心动, 哪他吗来的，留个名就滚了？ 
106,7月9日 00:38 ,离开是幸福,,日子没法活了全部身家在里面 
107,7月9日 00:17 ,罗懿熙,#联璧斐讯#, #天价路由# 京东我讨厌你٩(๑`ȏ´๑)۶ 
108,7月8日 23:31 ,笑傲浆糊_2016,,转发微博 
109,7月8日 23:14 ,用户6523199024,,关键是她们团队的人给我放狠话了 她说你有本事去告我们呀 把我们公司告死 你不去告你全家死光光 请问我去啥地方能把她们告了 谁能管 
